time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,Volume,RSI,RSI-based MA,Histogram,MACD,Signal,ATR
2025-05-05T16:38:00-04:00,5667.25,5668.5,5666.75,5668.5,5680.237597,5692.333326,5668.141867,5704.429056,5656.046138,5716.524785,5643.950408,640,39.41462087,30.76984555,0.953680937,-9.413883829,-10.36756477,2.462699666
2025-05-05T16:40:00-04:00,5668.5,5668.75,5668,5668.25,5680.233557,5692.329221,5668.137892,5704.424885,5656.042228,5716.52055,5643.946564,350,38.76511738,31.67765833,1.08228995,-9.014702329,-10.09699228,2.340363976
2025-05-05T16:42:00-04:00,5668.25,5669,5667.75,5668.75,5680.228485,5692.323994,5668.132976,5704.419503,5656.037467,5716.515012,5643.941958,446,40.86401216,32.56916055,1.214812519,-8.57847663,-9.793289149,2.262480834
2025-05-05T16:44:00-04:00,5669,5670.5,5668.75,5670.25,5680.221578,5692.316035,5668.127121,5704.410491,5656.032664,5716.504948,5643.938208,686,46.75974557,33.92658437,1.434522181,-8.000136422,-9.434658603,2.225875061
2025-05-05T16:46:00-04:00,5670.25,5670.5,5669.5,5670,5680.21751,5692.311279,5668.123742,5704.405047,5656.029974,5716.498816,5643.936205,411,45.93771345,35.04744497,1.53944389,-7.510353741,-9.049797631,2.138312556
2025-05-05T16:48:00-04:00,5670,5671,5669,5669,5680.213089,5692.306251,5668.119927,5704.399414,5656.026765,5716.492576,5643.933602,433,42.70380378,35.81700468,1.494643233,-7.18149359,-8.676136823,2.128433088
2025-05-05T16:50:00-04:00,5669.25,5671.25,5669,5670.75,5680.208435,5692.300649,5668.116221,5704.392863,5656.024007,5716.485077,5643.931793,487,49.41504176,37.15155899,1.604742153,-6.670209131,-8.274951284,2.137116439
2025-05-05T16:52:00-04:00,5670.5,5671,5670.25,5670.75,5680.206331,5692.298042,5668.11462,5704.389753,5656.022909,5716.481463,5643.931199,228,49.41504176,38.51530165,1.648515484,-6.21430693,-7.862822413,2.038036693
2025-05-05T16:54:00-04:00,5670.75,5671.25,5670.25,5671,5680.203214,5692.294122,5668.112306,5704.38503,5656.021398,5716.475937,5643.93049,344,50.37803259,39.97840713,1.668240459,-5.77752184,-7.445762299,1.963891215
2025-05-05T16:56:00-04:00,5671,5671.25,5670.25,5670.75,5680.201478,5692.291954,5668.111001,5704.38243,5656.020525,5716.472906,5643.930049,190,49.36595688,41.43223539,1.623626757,-5.416228853,-7.03985561,1.895041843
2025-05-05T16:58:00-04:00,5670.75,5672,5670.25,5671.5,5680.194829,5692.283274,5668.106383,5704.371719,5656.017938,5716.460165,5643.929493,769,52.45205339,42.80347339,1.628798039,-5.00385806,-6.6326561,1.884681711
2025-05-05T18:00:00-04:00,5667,5669.75,5663.5,5668.25,5667.166667,5667.166667,5667.166667,5667.166667,5667.166667,5667.166667,5667.166667,1147,40.8368689,43.52191983,1.297347077,-5.010972254,-6.308319331,2.32149016
2025-05-05T18:02:00-04:00,5668,5670.75,5668,5669,5667.783098,5668.734016,5666.83218,5669.684933,5665.881263,5670.635851,5664.930345,482,43.92297713,44.52912605,1.126214721,-4.900550929,-6.02676565,2.352098006
2025-05-05T18:04:00-04:00,5669,5669.25,5666,5667,5667.72531,5668.60819,5666.84243,5669.49107,5665.95955,5670.37395,5665.07667,305,38.20051834,44.88796457,0.813031262,-5.010476573,-5.823507835,2.416233863
2025-05-05T18:06:00-04:00,5667,5668.25,5666,5668,5667.661305,5668.457225,5666.865384,5669.253146,5666.069463,5670.049066,5665.273543,506,42.25172683,45.09061499,0.69481956,-4.954983384,-5.649802945,2.404360015
2025-05-05T18:08:00-04:00,5667.75,5670.25,5667.25,5669.75,5667.923658,5668.829671,5667.017644,5669.735684,5666.111631,5670.641697,5665.205618,552,48.60169165,45.79322744,0.776345256,-4.679371375,-5.455716631,2.446905728
2025-05-05T18:10:00-04:00,5669.75,5670.5,5668.75,5670,5668.20069,5669.261612,5667.139768,5670.322534,5666.078846,5671.383456,5665.017924,535,49.45672362,46.40699255,0.845839232,-4.398417591,-5.244256823,2.397126748
2025-05-05T18:12:00-04:00,5670.25,5670.5,5669.5,5669.75,5668.286651,5669.386327,5667.186974,5670.486004,5666.087297,5671.58568,5664.987621,186,48.5862973,46.53746053,0.857700356,-4.172131377,-5.029831734,2.29733198
2025-05-05T18:14:00-04:00,5670,5672.75,5670,5672.5,5668.784267,5670.368987,5667.199548,5671.953706,5665.614829,5673.538426,5664.030109,623,57.4562247,47.36021133,1.105655663,-3.647762155,-4.753417818,2.347522553
2025-05-05T18:16:00-04:00,5672.25,5673.25,5672,5672.75,5669.195006,5671.111146,5667.278866,5673.027286,5665.362725,5674.943427,5663.446585,513,58.16285975,48.46442961,1.266094437,-3.170799772,-4.436894209,2.269128085
2025-05-05T18:18:00-04:00,5672.75,5673.5,5671.75,5672.25,5669.435771,5671.470933,5667.40061,5673.506094,5665.365448,5675.541255,5663.330287,381,56.15397809,48.94578221,1.292532772,-2.821228243,-4.113761016,2.232047507
2025-05-05T18:20:00-04:00,5672.25,5672.25,5670.5,5670.5,5669.539666,5671.549909,5667.529424,5673.560151,5665.519181,5675.570394,5663.508939,352,49.68564651,48.96511112,1.114513659,-2.720618942,-3.835132601,2.197615543
2025-05-05T18:22:00-04:00,5670.75,5670.75,5669.25,5669.75,5669.560228,5671.516757,5667.603698,5673.473286,5665.647169,5675.429815,5663.69064,322,47.17749086,48.736501,0.901397822,-2.708385323,-3.609783145,2.147785861
2025-05-05T18:24:00-04:00,5670,5670.5,5669.25,5669.25,5669.563799,5671.487316,5667.640282,5673.410833,5665.716766,5675.33435,5663.793249,205,45.52746617,48.46232309,0.696294682,-2.739414793,-3.435709475,2.0836583
2025-05-05T18:26:00-04:00,5669.25,5670.25,5669.25,5670,5669.569077,5671.474036,5667.664118,5673.378995,5665.759158,5675.283954,5663.854199,122,48.44046645,48.17578116,0.618855082,-2.662140622,-3.280995704,2.006254135
2025-05-05T18:28:00-04:00,5669.75,5670.5,5669.25,5670.5,5669.5825,5671.46422,5667.700779,5673.34594,5665.819059,5675.227661,5663.937339,167,50.34681997,48.85506338,0.604042546,-2.525942522,-3.129985068,1.952235983
2025-05-05T18:30:00-04:00,5670,5671.25,5669.5,5669.75,5669.605901,5671.453101,5667.758702,5673.300301,5665.911502,5675.147501,5664.064302,267,47.50923767,49.11122485,0.515227456,-2.485950748,-3.001178204,1.937790555
2025-05-05T18:32:00-04:00,5669.5,5670.75,5668.25,5670.75,5669.625188,5671.415721,5667.834654,5673.206254,5666.044121,5674.996788,5664.253587,441,51.43917729,50.05684335,0.541894627,-2.323809919,-2.865704547,1.977948373
2025-05-05T18:34:00-04:00,5670.75,5670.75,5669,5670,5669.631645,5671.402753,5667.860538,5673.17386,5666.089431,5674.944968,5664.318323,161,48.5059612,50.50357437,0.481406074,-2.263946954,-2.745353028,1.961666346
2025-05-05T18:36:00-04:00,5669.75,5671.25,5669.5,5671,5669.652774,5671.409715,5667.895833,5673.166656,5666.138892,5674.923597,5664.381951,165,52.40315191,50.77510725,0.526689778,-2.086990806,-2.613680584,1.946547322
2025-05-05T18:38:00-04:00,5671.25,5671.5,5670.25,5670.75,5669.685516,5671.428735,5667.942297,5673.171954,5666.199078,5674.915173,5664.455859,212,51.35670654,50.91082032,0.523586908,-1.959196949,-2.482783857,1.896793941
2025-05-05T18:40:00-04:00,5670.75,5670.75,5670.25,5670.5,5669.692488,5671.429851,5667.955125,5673.167214,5666.217763,5674.904576,5664.4804,66,50.27552055,51.03147912,0.488513782,-1.87214163,-2.360655411,1.797022946
2025-05-05T18:42:00-04:00,5670.75,5670.75,5669.5,5669.75,5669.700906,5671.415058,5667.986754,5673.129211,5666.272602,5674.843363,5664.558449,217,47.07376537,50.28987488,0.387687506,-1.876046029,-2.263733535,1.757949878
2025-05-05T18:44:00-04:00,5669.5,5670,5668.75,5668.75,5669.69183,5671.392761,5667.990899,5673.093691,5666.289969,5674.794622,5664.589038,137,43.12980568,49.2160853,0.224961122,-1.982532132,-2.207493254,1.721667744
2025-05-05T18:46:00-04:00,5668.75,5669.5,5668.75,5669,5669.683568,5671.374379,5667.992757,5673.065189,5666.301946,5674.756,5664.611135,111,44.38431957,48.37539541,0.143207653,-2.028483688,-2.171691341,1.652262905
2025-05-05T18:48:00-04:00,5669,5669.5,5667,5667.25,5669.588281,5671.280602,5667.89596,5672.972923,5666.203639,5674.665243,5664.511318,466,38.05589727,47.54469904,-0.066011801,-2.254206092,-2.188194291,1.712815555
2025-05-05T18:50:00-04:00,5667.5,5667.75,5666.75,5667.25,5669.541086,5671.24821,5667.833961,5672.955334,5666.126837,5674.662458,5664.419713,178,38.05589727,46.89315664,-0.188734088,-2.424111901,-2.235377813,1.661900158
2025-05-05T18:52:00-04:00,5667,5668,5667,5667,5669.512911,5671.227114,5667.798708,5672.941316,5666.084506,5674.655519,5664.370303,114,37.17764537,46.29674086,-0.272716119,-2.576272962,-2.303556843,1.614621575
